Season,Name,Team,Stf+ FA,botOvr FA,Stf+ CH,botOvr CH,NameASCII,PlayerId,MLBAMID
2022,"Dylan Cease","CHW",126.75579710144923,52.73039425925927,64.64933333333333,46.717530266666664,"Dylan Cease",18525,656302
2023,"Bryce Elder","ATL",63.33573487031701,40.49295141210375,64.46143958868893,43.532182056555264,"Bryce Elder",27779,693821
2022,"Spenser Watkins","BAL",72.02348754448398,42.65664097864768,63.752112676056335,33.45302957746479,"Spenser Watkins",17489,657093
2022,"Graham Ashcraft","CIN",,,63.26666666666667,42.25379083333333,"Graham Ashcraft",27552,668933
2023,"Dane Dunning","TEX",68.75,26.45529015151515,63.10945945945945,49.427303162162154,"Dane Dunning",19409,641540
2022,"Zack Wheeler","PHI",119.36670050761423,71.00731342131981,62.590476190476195,41.55102833333333,"Zack Wheeler",10310,554430
2022,"Justin Steele","CHC",91.13645021645021,57.15225578354979,62.15135135135135,29.073073513513513,"Justin Steele",17312,657006
2022,"Nick Pivetta","BOS",112.38861323155217,57.23071454834605,61.06142857142857,45.423973,"Nick Pivetta",15454,601713
2022,"José Quintana","- - -",85.50733944954128,54.96705293577981,60.94199623352165,39.844681431261776,"Jose Quintana",11423,500779
2022,"Brad Keller","KCR",99.61104565537555,49.61512891016201,60.65894736842105,25.667866736842107,"Brad Keller",15734,641745
2022,"Drew Smyly","CHC",,,60.63333333333333,49.11313833333333,"Drew Smyly",11760,592767
2023,"Dylan Cease","CHW",124.67940340909091,52.70982724431817,60.38080808080808,43.197797878787895,"Dylan Cease",18525,656302
2022,"Drew Hutchison","DET",78.17860780984721,37.784632224108655,60.09518072289156,41.687406626506025,"Drew Hutchison",10732,571800
2022,"Paolo Espino","WSN",73.00913043478262,43.16364934782608,59.62739726027397,55.410723424657526,"Paolo Espino",8246,502179
2022,"Sonny Gray","MIN",100.43062381852553,60.329924612476376,59.1157894736842,27.247681052631577,"Sonny Gray",12768,543243
2023,"Shane Bieber","CLE",80.50727802037845,52.23979170305676,59.036764705882355,32.543646470588236,"Shane Bieber",19427,669456
2022,"Kyle Freeland","COL",70.23444613050074,56.98880992412747,58.855076142131985,41.35506728426395,"Kyle Freeland",16256,607536
2023,"Miles Mikolas","STL",74.04310134310134,55.642850361881806,57.29763313609467,57.33632859649123,"Miles Mikolas",9803,571945
2022,"Madison Bumgarner","ARI",79.59667405764965,44.91643291574279,57.255700325732896,34.20811114006515,"Madison Bumgarner",5524,518516
2022,"Dakota Hudson","STL",73.90483516483516,45.05520894505496,56.99032258064516,32.54302376344087,"Dakota Hudson",19206,641712
2023,"Logan Allen","CLE",82.08650051921082,56.073675773624096,55.617031630170324,51.7830997080292,"Logan Allen",27589,671106
2023,"Lance Lynn","- - -",92.41282835765152,61.2217874491279,54.83956762192056,45.83584276018099,"Lance Lynn",2520,458681
2022,"Josiah Gray","WSN",83.01894013738959,47.13995768400391,53.02739726027398,30.577049726027393,"Josiah Gray",24580,680686
2022,"Roansy Contreras","PIT",104.58081805359662,51.922405641748945,52.69756097560977,20,"Roansy Contreras",22810,672710
2023,"Brady Singer","KCR",,,52.59024390243902,37.249086158536585,"Brady Singer",25377,663903
2022,"José Ureña","COL",85.90900900900903,43.43492036036037,52.498347107438015,38.586431487603306,"Jose Urena",11589,570632
2022,"Chad Kuhl","COL",80.3375,30.70297803571429,50.758235294117654,34.01590617647058,"Chad Kuhl",14975,641771
2023,"Freddy Peralta","MIL",117.04604267033724,62.33445268410186,50.379518072289166,40.45167260240964,"Freddy Peralta",18679,642547
2022,"Germán Márquez","COL",76.15798122065728,47.614391784037565,49.60232558139534,41.61138895348837,"German Marquez",15038,608566
2022,"Kyle Hendricks","CHC",72.32821229050279,46.916899692737424,49.55786924939468,56.15575796610169,"Kyle Hendricks",12049,543294
2023,"Kyle Freeland","COL",67.90855855855854,53.81236855855855,47.263698630136986,49.95434181506849,"Kyle Freeland",16256,607536
2023,"Kyle Hendricks","CHC",67.17529137529138,50.31934622377621,41.528950403690885,51.40287238754324,"Kyle Hendricks",12049,543294
2023,"Josiah Gray","WSN",82.2536534446764,36.33226655532359,41.25116279069767,36.22688302325581,"Josiah Gray",24580,680686
2023,"Zack Wheeler","PHI",111.84729136163982,73.81568800146412,40.620000000000005,43.92427200000001,"Zack Wheeler",10310,554430
2022,"Robbie Ray","SEA",101.02797668609493,64.35073379683597,40.56818181818182,20,"Robbie Ray",11486,592662
2022,"Lance Lynn","CHW",98.78509249183897,59.61435945593036,35.837037037037035,34.22907679012345,"Lance Lynn",2520,458681
2023,"Clayton Kershaw","LAD",96.0889945652174,49.84387331521739,34.09714285714286,31.185424285714284,"Clayton Kershaw",2036,477132
2023,"Clarke Schmidt","NYY",,,31.27,35.10691175,"Clarke Schmidt",19899,657376
2022,"Clayton Kershaw","LAD",104.91112618724559,58.424761818181814,19.418181818181814,53.2148990909091,"Clayton Kershaw",2036,477132
2022,"Jake Odorizzi","- - -",75.8645652173913,49.07561273913044,,,"Jake Odorizzi",6397,543606
2022,"Alex Cobb","SFG",85.93333333333334,37.34037,,,"Alex Cobb",6562,502171
2022,"Nathan Eovaldi","BOS",100.52773613193403,61.53770805097451,,,"Nathan Eovaldi",9132,543135
2022,"Taijuan Walker","NYM",99.30895522388059,49.40196995929443,,,"Taijuan Walker",11836,592836
2022,"Yu Darvish","SDP",119.983178807947,53.22063354966888,,,"Yu Darvish",13074,506433
2022,"Marcus Stroman","CHC",74.55170731707318,51.211310878048785,,,"Marcus Stroman",13431,573186
2022,"Frankie Montas","- - -",102.68612368024132,56.001443197586724,,,"Frankie Montas",14309,593423
2022,"Tyler Mahle","- - -",107.07898148148148,61.49202797222222,,,"Tyler Mahle",16358,641816
